发震日期（北京时间）,经度(°),纬度(°),震源深度(Km),震级类型,震级,震中位置,事件类型
2022-1-31 08:49:54,40.10,39.10,7,Ms,4.3,土耳其,天然地震
2022-1-23 08:45:17,25.80,34.17,59,mB,5.0,地中海东部,天然地震
2022-1-18 07:28:54,35.90,39.00,5,Ms,4.7,土耳其,天然地震
2022-1-17 19:40:07,64.08,34.93,10,Ms,5.3,阿富汗西北部,天然地震
2022-1-17 17:35:57,64.00,34.73,10,Ms,4.5,阿富汗西北部,天然地震
2022-1-16 19:48:00,23.76,39.71,14,Ms,5.3,爱琴海,天然地震
2022-1-16 10:49:18,50.30,29.10,10,Ms,4.4,波斯湾,天然地震
2022-1-15 21:35:28,57.01,30.41,5,Ms,4.6,伊朗南部,天然地震
2022-1-12 05:21:57,62.70,25.68,10,Ms,4.2,巴基斯坦西部,天然地震
2022-1-11 09:07:47,31.85,35.10,30,Mw,6.6,塞浦路斯,天然地震
2022-1-11 07:26:48,-43.70,28.40,50,Ms,5.8,北大西洋海岭,天然地震
2022-1-10 05:43:45,21.40,40.80,10,Ms,5.4,希腊弗洛里纳,天然地震
2022-1-05 11:21:15,31.30,36.10,66,Ms,4.7,地中海东部,天然地震
2022-1-04 11:18:35,-35.10,35.23,6,Ms,5.9,北大西洋海岭,天然地震
2021-12-30 00:47:03,24.76,34.56,67,mB,5.2,克里特岛,天然地震
2021-12-29 13:08:05,24.77,34.68,68,Ms,5.1,克里特岛,天然地震
2021-12-27 15:31:50,55.63,27.84,10,Ms,4.5,伊朗南部,天然地震
2021-12-27 02:59:00,26.86,34.91,14,Ms,5.6,克里特岛,天然地震
2021-12-26 23:15:07,26.41,34.98,22,Ms,5.0,克里特岛,天然地震
2021-12-25 14:39:02,67.48,30.64,10,Ms,4.3,巴基斯坦,天然地震
2021-12-23 09:54:23,-4.00,35.20,10,mB,5.2,摩洛哥,天然地震
2021-12-22 00:36:13,56.45,27.93,9,Ms,4.2,伊朗南部,天然地震
2021-12-18 13:16:35,22.94,36.22,60,Ms,4.7,地中海,天然地震
2021-12-15 16:21:07,49.70,32.40,10,Ms,4.5,伊朗西部,天然地震
2021-12-15 05:23:05,49.70,32.40,40,Ms,4.5,伊朗西部,天然地震
2021-12-12 02:56:06,56.99,30.49,9,Ms,4.5,伊朗南部,天然地震
2021-12-06 05:46:45,43.36,38.94,9,Ms,4.6,土耳其,天然地震
2021-11-30 12:00:37,25.90,37.70,10,Ms,4.9,多德卡尼斯群岛,天然地震
2021-11-24 05:46:23,59.00,28.38,10,Ms,4.7,伊朗南部,天然地震
2021-11-22 16:31:25,41.90,39.80,7,Ms,4.4,土耳其,天然地震
2021-11-20 20:46:07,48.45,40.88,41,Ms,4.6,高加索东部,天然地震
2021-11-19 21:27:03,20.30,38.19,14,Ms,4.9,爱奥尼亚海,天然地震
2021-11-19 20:40:51,41.90,39.80,5,Ms,5.1,土耳其,天然地震
2021-11-17 20:40:11,30.34,40.98,7,Ms,4.7,土耳其,天然地震
2021-11-15 21:36:07,55.87,27.86,7,Ms,4.5,伊朗南部,天然地震
2021-11-15 00:19:59,56.61,27.68,10,mB,4.7,伊朗南部,天然地震
2021-11-14 22:02:54,56.23,27.75,7,Ms,4.5,伊朗南部,天然地震
2021-11-14 20:08:35,56.10,27.65,10,Ms,6.5,伊朗南部,天然地震
2021-11-14 20:07:01,56.05,27.65,10,Ms,6.4,伊朗南部,天然地震
2021-11-14 04:52:14,53.54,28.12,10,Ms,4.4,伊朗南部,天然地震
2021-11-12 17:19:13,38.41,38.20,21,Ms,4.7,土耳其,天然地震
2021-11-11 21:21:39,-19.80,63.90,10,Ms,5.0,冰岛,天然地震
2021-11-09 01:43:20,32.10,37.90,5,Ms,4.7,土耳其,天然地震
2021-10-21 16:12:55,25.20,35.20,10,Ms,4.6,克里特岛,天然地震
2021-10-21 14:05:09,58.08,27.79,22,mB,4.9,伊朗南部,天然地震
2021-10-20 12:45:37,45.07,43.40,10,Ms,4.6,高加索西部,天然地震
2021-10-19 13:32:28,27.92,34.35,42,Ms,5.4,地中海东部,天然地震
2021-10-18 04:13:22,19.14,41.39,20,mB,5.4,亚得里亚海,天然地震
2021-10-16 19:46:01,56.50,30.90,10,Ms,5.0,伊朗,天然地震
2021-10-12 17:24:04,26.35,34.95,30,Ms,6.5,克里特岛,天然地震
2021-10-11 00:11:20,54.72,27.54,10,Ms,4.7,伊朗南部,天然地震
2021-10-11 00:09:30,-33.38,57.83,8,Ms,5.3,北大西洋,天然地震
2021-10-09 14:05:31,49.80,32.40,14,Ms,5.2,伊朗西部,天然地震
2021-10-09 07:16:24,49.70,32.30,10,Ms,4.7,伊朗西部,天然地震
2021-10-07 03:57:25,16.21,43.09,10,Ms,4.5,亚得里亚海,天然地震
2021-10-05 15:59:58,67.28,36.93,10,Ms,5.0,兴都库什地区,天然地震
2021-10-04 10:39:26,49.80,32.30,10,Ms,5.8,伊朗西部,天然地震
2021-10-01 10:33:21,50.50,29.80,10,Ms,4.3,伊朗南部,天然地震
2021-10-01 09:15:21,50.50,29.80,10,Ms,4.8,伊朗南部,天然地震
2021-9-29 19:54:43,25.14,34.39,6,mb,4.7,地中海,天然地震
2021-9-28 12:48:03,24.69,34.95,10,Ms,5.1,克里特岛,天然地震
2021-9-28 05:37:09,25.30,35.10,10,Ms,4.5,克里特岛,天然地震
2021-9-28 04:10:00,25.20,35.10,10,mB,4.9,克里特岛,天然地震
2021-9-27 19:02:24,25.00,35.48,7,Ms,4.9,克里特岛,天然地震
2021-9-27 16:21:54,24.83,35.15,10,Ms,4.5,克里特岛,天然地震
2021-9-27 15:30:44,25.00,35.41,11,mB,5.3,克里特岛,天然地震
2021-9-27 14:17:18,24.67,35.24,19,Ms,6.0,克里特岛,天然地震
2021-9-26 11:07:31,-32.60,58.10,10,Ms,4.5,北大西洋,天然地震
2021-9-13 12:02:31,58.90,37.20,10,Ms,5.1,伊朗,天然地震
2021-9-07 19:14:58,31.00,36.10,60,mb,4.9,地中海东部,天然地震
2021-9-03 11:34:49,46.10,42.40,5,Ms,4.4,高加索东部,天然地震
2021-8-31 19:04:19,29.54,38.62,5,Ms,4.8,土耳其,天然地震
